DRE,Duke Realty Corporation,20131125,Duke 91  Vermont 90 ,No. 6 Duke 91  Vermont 90: Rodney Hood made the decisive free throw with five seconds left as the Blue Devils survived a late four-point play to avoid a massive home upset at the hands of the pesky Catamounts.,topStory
ENB,Enbridge Inc,20131125,Marathon agrees to partner on Enbridge's Sandpiper line ,CALGARY  Alberta  Nov 25 Enbridge Inc  said on Monday that Marathon Petroleum Corp agreed to take a stake and become the main shipper on the company's $2.6 billion Sandpiper pipeline project  which will take crude oil from North Dakota's Bakken field to U.S. refiners.,topStory
EQT,EQT Corporation,20131125,UPDATE 1-Two buyout firms vie for patch maker LTS Lohmann -sources ,* Bids value LTS Lohmann at about 1.2 bln euros - sources,topStory
XCO,EXCO Resources NL,20131125,Ross and Watsa to backstop $273 million Exco rights offering ,NEW YORK  Nov 25 Billionaire investors Wilbur Ross and Prem Watsa are backing a $273 million rights offering by oil and gas company Exco Resources Inc as it works to raise money to drill newly acquired assets.,topStory
F,Ford Motor Company,20131125,CORRECTED-UPDATE 4-Iran nuclear deal shipping insurance element may help oil sales ,* Energy investments  technology supplies still banned -U.S.,topStory
FMS,Fresenius Medical Care Corporation,20131125,UPDATE 1-European stocks receive boost from Iran nuclear deal ,LONDON  Nov 25 European shares headed towards a five-year high and Germany's DAX set a new record on Monday  with airline stocks and French car makers getting buoyed by the nuclear deal between Iran and world powers.,topStory
FMS,Fresenius Medical Care Corporation,20131125,European stocks receive boost from Iran nuclear deal ,LONDON  Nov 25 European shares headed towards a five-year high and Germany's DAX set a new record on Monday  with airline stocks and French car makers getting a big boost from the nuclear deal between Iran and world powers.,normal
FMS,Fresenius Medical Care Corporation,20131125,Fresenius Medical Care shares up as U.S. opts to phase in payment cuts ,FRANKFURT Shares in the world's biggest kidney dialysis provider Fresenius Medical Care  rose more than 9 percent on Monday after a U.S. healthcare agency said it would phase in reimbursement cuts rather than introduce them in one hit next year.,normal
FMS,Fresenius Medical Care Corporation,20131125,Fresenius Medical Care shares up as US opts to phase in payment cuts ,FRANKFURT  Nov 25 Shares in the world's biggest kidney dialysis provider Fresenius Medical Care rose more than 9 percent on Monday after a U.S. healthcare agency said it would phase in reimbursement cuts rather than introduce them in one hit next year.,normal
FMS,Fresenius Medical Care Corporation,20131125,European stocks head towards five-year high after Iran nuclear deal ,LONDON  Nov 25 European shares headed towards a five-year high and Germany's DAX set a new record on Monday  with airline stocks and French car makers getting a big boost from a breakthrough nuclear deal between Iran and world powers.,normal
FMS,Fresenius Medical Care Corporation,20131125,Iran nuclear deal helps European shares to advance ,LONDON  Nov 25 The FTSEurofirst 300 share index climbed towards a recent five-year high and Germany's DAX set a new record on Monday  with a breakthrough nuclear deal between Iran and world powers raising appetite for risky assets.,normal
FMS,Fresenius Medical Care Corporation,20131125,BRIEF-FMC shares open 7.4 percent higher on U.S. reimbursement ,FRANKFURT  Nov 25 Fresenius Medical Care :  * Shares open 7.4 percent higher on U.S. reimbursement,normal
