GM,General Motors Company,20160223,U.S. judge to stick with plan for GM ignition-switch test trials ,NEW YORK A federal judge in Manhattan said on Tuesday he will not alter  for now  a plan to try five more early test cases this year against General Motors Co  over faulty ignition switches  linked to nearly 400 injuries and deaths.,normal
GM,General Motors Company,20160223,UPDATE 1-U.S. judge to stick with plan for GM ignition-switch test trials ,NEW YORK  Feb 23 A federal judge in Manhattan said on Tuesday he will not alter  for now  a plan to try five more early test cases this year against General Motors Co  over faulty ignition switches  linked to nearly 400 injuries and deaths.,normal
GM,General Motors Company,20160223,U.S. judge to stick with plan for GM ignition-switch test trials ,NEW YORK  Feb 23 A federal judge in Manhattan on Tuesday said he does not intend to alter  for now  a plan to try five more early test cases this year in federal litigation against General Motors Co over a faulty ignition switch linked to nearly 400 injuries and deaths.,normal
GM,General Motors Company,20160223,Car sharing won't be as disruptive as self-driving cars: study ,DETROIT The growth of car-sharing services will erode traditional manufacturers' vehicle sales and revenues through 2021  but will not be nearly as disruptive as the rise of self-driving cars later in the decade  a study forecasts.,normal
GM,General Motors Company,20160223,Car sharing won't be as disruptive as self-driving cars -study ,DETROIT  Feb 23 The growth of car-sharing services will erode traditional manufacturers' vehicle sales and revenues through 2021  but will not be nearly as disruptive as the rise of self-driving cars later in the decade  a study forecasts.,normal
GSK,GlaxoSmithKline PLC,20160223,BRIEF-GSK's ViiV announces mid-stage results for HIV injection drugs ,* ViiV Healthcare announces phase II study results for first two drug  long-acting injectable regimen for HIV-1 treatment,topStory
HD,Home Depot Inc (The),20160223,Home Depot sales beat on housing recovery  outdoor demand ,Home Depot Inc   the world's largest home improvement chain  reported better-than-expected sales  boosted by an improving housing market and mild weather in the holiday quarter that encouraged customers continue outdoor activities and home renovations. | Video ,topStory
HD,Home Depot Inc (The),20160223,UPDATE 4-Home Depot sales beat on housing recovery  outdoor demand ,* Shares up as much as 3.5 pct   (Adds conference call details and comments  background; updates shares),normal
HD,Home Depot Inc (The),20160223,Home Depot quarterly sales rise 9.5 pct ,Feb 23 Home Depot Inc  the No. 1 U.S. home improvement chain  reported a 9.5 percent rise in quarterly sales  helped by a recovery in the housing market.,normal
HMC,Honda Motor Company Ltd,20160223,Exclusive: Honda CEO to shift gears  distance sales teams from car design process - sources ,TOKYO Nearly a year into his job  Honda Motor Co  CEO Takahiro Hachigo plans a back-to-the-future shift at the Japanese automaker  driving clearer demarcation lines between those who develop cars and those who sell them  two senior company insiders told Reuters.,topStory
HMC,Honda Motor Company Ltd,20160223,UPDATE 1-Honda reshuffles management in bid to inject youth  diversity ,* Automaker taps Asako Suzuki as first female operating officer   (Adds details on personnel changes  background),normal
HMC,Honda Motor Company Ltd,20160223,Honda to promote head of China operations to executive VP role ,TOKYO  Feb 23 Honda Motor Co on Tuesday said it will promote its top official in China to the role of company executive vice president  as the Japanese automaker's new chief executive reshuffles his management team ahead of a strategy update on Wednesday.,normal
HON,Honeywell International Inc,20160223,Honeywell does not see regulatory hurdles for United Tech deal ,Aerospace component supplier Honeywell International Inc  confirmed on Tuesday that it had engaged in deal talks with United Technologies Corp  over the past year  and said it did not see regulatory process as a "material obstacle" to the deal.,topStory
HON,Honeywell International Inc,20160223,UPDATE 1-Honeywell does not see regulatory hurdles for United Tech deal ,Feb 23 Aerospace component supplier Honeywell International Inc confirmed on Tuesday that it had engaged in deal talks with United Technologies Corp over the past year  and said it did not see regulatory process as a "material obstacle" to the deal.,normal
HON,Honeywell International Inc,20160223,Wall St. stumbles as oil slumps again ,Wall Street stocks slid on Tuesday  hurt by pressure from a renewed drop in oil prices  undercutting momentum that had helped the market rebound from a sluggish start to the year.,normal
HON,Honeywell International Inc,20160223,Honeywell does not see regulatory hurdles for United Tech deal ,Feb 23 Honeywell International Inc  confirmed on Tuesday that it had engaged in deal talks with United Technologies Corp over the past year  and said it did not see regulatory process as a "material obstacle" to the deal.,normal
HON,Honeywell International Inc,20160223,CORRECTED-BRIEF-Honeywell confirms that over past year in talks with United Technologies Corp over possible combination ,* "We do not see the regulatory process as a material obstacle to a transaction",normal
HON,Honeywell International Inc,20160223,Thales shuns big mergers after U.S. aero firms try to team up ,PARIS France's Thales  ruled out its participation in a "Big Bang" merger as the aerospace industry digested news of inconclusive talks between two of its largest suppliers  United Technologies  and Honeywell .,normal
HON,Honeywell International Inc,20160223,BRIEF-Thales CEO says UTC-Honeywell would have posed anti-trust problems ,Feb 23 Thales CEO Patrice Caine at annual results news conference:,normal
HSBC,HSBC Holdings plc,20160223,Fitch: HSBC's 4Q Loss Shows Headwinds for Asia Pivot ,(The following statement was released by the rating agency) HONG KONG/LONDON/SINGAPORE  February 23 (Fitch) The drop in HSBC Holdings'  (AA-/F1+/Stable) ROE to 7.2% in 2015 against its own benchmark of above 10%  shows that implementing its strategic plan to focus on Asia  cutting costs and  selling off poorly performing assets is going to be challenging and take longer   Fitch Ratings says. This is particularly as China's economic growth decelerates   commodity markets slow and interest rates r,topStory
