DFVL,iPath US Treasury 5-year Bull ETN,20140910,MOVES-Barclays hires Bank of America's deal banker -FT ,Sept 9 Barclays PLC appointed Richard Casavechia as the head of its M&A structuring  and he will start working at Barclays by the end of the year  the Financial Times reported.,normal
FLAT,iPath US Treasury Flattener ETN,20140910,MOVES-Barclays appoints Ex-Goldman banker to its Middle East team -Bloomberg ,Sept 11 Barclays Plc named Khaled Eldabag as co-head for its investment-banking arm in the Middle East and North Africa  Bloomberg reported on Wednesday.,topStory
FLAT,iPath US Treasury Flattener ETN,20140910,Rose close to 'a great year' after two 2014 wins ,ATLANTA Tournament wins on both sides of the Atlantic have made 2014 "a good year" for world number five Justin Rose  who says a slightly better showing in the majors would have transformed his campaign into a great one.,normal
FLAT,iPath US Treasury Flattener ETN,20140910,Bidvest appoints Barclays  Investec to look at London listing ,JOHANNESBURG  Sept 10 South African conglomerate Bidvest on Wednesday appointed Barclays and Investec as advisers for a possible listing of its food business on the London Stock Exchange.,normal
FLAT,iPath US Treasury Flattener ETN,20140910,RPT-Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
FLAT,iPath US Treasury Flattener ETN,20140910,Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
FLAT,iPath US Treasury Flattener ETN,20140910,MOVES-Barclays hires Bank of America's deal banker -FT ,Sept 9 Barclays PLC appointed Richard Casavechia as the head of its M&A structuring  and he will start working at Barclays by the end of the year  the Financial Times reported.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140910,MOVES-Barclays appoints Ex-Goldman banker to its Middle East team -Bloomberg ,Sept 11 Barclays Plc named Khaled Eldabag as co-head for its investment-banking arm in the Middle East and North Africa  Bloomberg reported on Wednesday.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20140910,Rose close to 'a great year' after two 2014 wins ,ATLANTA Tournament wins on both sides of the Atlantic have made 2014 "a good year" for world number five Justin Rose  who says a slightly better showing in the majors would have transformed his campaign into a great one.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140910,Bidvest appoints Barclays  Investec to look at London listing ,JOHANNESBURG  Sept 10 South African conglomerate Bidvest on Wednesday appointed Barclays and Investec as advisers for a possible listing of its food business on the London Stock Exchange.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140910,RPT-Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140910,Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140910,MOVES-Barclays hires Bank of America's deal banker -FT ,Sept 9 Barclays PLC appointed Richard Casavechia as the head of its M&A structuring  and he will start working at Barclays by the end of the year  the Financial Times reported.,normal
STPP,iPath US Treasury Steepener ETN,20140910,MOVES-Barclays appoints Ex-Goldman banker to its Middle East team -Bloomberg ,Sept 11 Barclays Plc named Khaled Eldabag as co-head for its investment-banking arm in the Middle East and North Africa  Bloomberg reported on Wednesday.,topStory
STPP,iPath US Treasury Steepener ETN,20140910,Rose close to 'a great year' after two 2014 wins ,ATLANTA Tournament wins on both sides of the Atlantic have made 2014 "a good year" for world number five Justin Rose  who says a slightly better showing in the majors would have transformed his campaign into a great one.,normal
STPP,iPath US Treasury Steepener ETN,20140910,Bidvest appoints Barclays  Investec to look at London listing ,JOHANNESBURG  Sept 10 South African conglomerate Bidvest on Wednesday appointed Barclays and Investec as advisers for a possible listing of its food business on the London Stock Exchange.,normal
STPP,iPath US Treasury Steepener ETN,20140910,RPT-Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
STPP,iPath US Treasury Steepener ETN,20140910,Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
STPP,iPath US Treasury Steepener ETN,20140910,MOVES-Barclays hires Bank of America's deal banker -FT ,Sept 9 Barclays PLC appointed Richard Casavechia as the head of its M&A structuring  and he will start working at Barclays by the end of the year  the Financial Times reported.,normal
MSFT,Microsoft Corporation,20140910,RPT-Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,topStory
MSFT,Microsoft Corporation,20140910,Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
MYL,Mylan NV,20140910,UPDATE 2-S.Africa's Aspen to sell U.S. drug rights to Mylan for up to $300 mln ,JOHANNESBURG  Sept 10 Aspen Pharmacare  is to sell the rights to market a blood clot drug in the United States to rival Mylan Inc for up to $300 million  it said on Wednesday  a move that would help Africa's top generic drugmaker pay down debt.,topStory
OTIV,On Track Innovations Ltd,20140910,Apple effect: On Track Innovations soars  GT Advanced slumps ,Apple Inc's unveiling of larger iPhones and a mobile payments service led to contrasting fortunes for GT Advanced Technologies Inc and On Track Innovations Ltd.,topStory
OTIV,On Track Innovations Ltd,20140910,Apple effect: On Track Innovations soars  GT Advanced slumps ,Sept 10 Apple Inc's unveiling of larger iPhones and a mobile payments service led to contrasting fortunes for GT Advanced Technologies Inc and On Track Innovations Ltd.,normal
QCOM,QUALCOMM Incorporated,20140910,U.S. antitrust official concerned by China anti-competition stance ,WASHINGTON A top U.S. antitrust enforcer expressed concern on Wednesday about China's enforcement of its antitrust law after Beijing opened a probe into Qualcomm Inc for allegedly abusing its market position.,topStory
QCOM,QUALCOMM Incorporated,20140910,U.S. antitrust official concerned by China anti-competition stance ,WASHINGTON  Sept 10 A top U.S. antitrust enforcer expressed concern on Wednesday about China's enforcement of its antitrust law after Beijing opened a probe into Qualcomm Inc for allegedly abusing its market position.,normal
RYAAY,Ryanair Holdings plc,20140910,UPDATE 1-Ryanair says selling more seats per flight this year ,* Says Russia flights summer 2015 at earliest   (Adds details on load factor  plans for Cyprus and Russia),topStory
SGEN,Seattle Genetics Inc,20140910,Genmab and Seattle Genetics in antibody drug agreement ,COPENHAGEN  Sept 10 Denmark's Genmab  will pay Seattle Genetics $11 million to use its technology with Genmab's AXL antibody and future milestones and royalty payments  as a result of a potential product  could amount to $200 million  the companies said on Tuesday.,topStory
TSLA,Tesla Inc ,20140910,Nevada lawmakers to consider huge tax breaks for Tesla ,CARSON CITY Nev. Nevada lawmakers on Wednesday will consider controversial tax breaks estimated at up to $1.3 billion for Tesla Motors Inc to build its $5 billion battery factory in the state.,topStory
TSLA,Tesla Inc ,20140910,UPDATE 1-Nevada lawmakers to consider huge tax breaks for Tesla ,(Recasts with start of session and comments from lawmakers),normal
