GEK,General Electric Capital Corporation,20140509,UPDATE 1-France wants Areva to buy Alstom wind unit if GE wins bid-paper ,* Even together  the two would be small player in offshore   (Adds EWA data  industry background),normal
GEK,General Electric Capital Corporation,20140509,France wants Areva to buy Alstom wind unit if GE wins bid-paper ,PARIS  May 9 France wants state-controlled nuclear group Areva to take over Alstom's offshore wind turbine unit if General Electric's bid for Alstom succeeds  a French paper reported on Friday.,normal
GEK,General Electric Capital Corporation,20140509,Juncker says France shouldn't blame its woes on euro ,BERLIN France's economic woes are the result of poor policy choices at home and Paris should stop blaming its problems on the strength of the euro  Jean-Claude Juncker  the center-right candidate for European Commission president  told Reuters.,normal
GE,General Electric Company,20140509,France wants Areva to buy Alstom wind unit if GE wins bid: paper ,PARIS France wants state-controlled nuclear group Areva to take over Alstom's offshore wind turbine unit if General Electric's bid for Alstom succeeds  a French paper reported on Friday.,topStory
GE,General Electric Company,20140509,UPDATE 1-France wants Areva to buy Alstom wind unit if GE wins bid-paper ,* Even together  the two would be small player in offshore   (Adds EWA data  industry background),normal
GE,General Electric Company,20140509,France wants Areva to buy Alstom wind unit if GE wins bid-paper ,PARIS  May 9 France wants state-controlled nuclear group Areva to take over Alstom's offshore wind turbine unit if General Electric's bid for Alstom succeeds  a French paper reported on Friday.,normal
GE,General Electric Company,20140509,Juncker says France shouldn't blame its woes on euro ,BERLIN France's economic woes are the result of poor policy choices at home and Paris should stop blaming its problems on the strength of the euro  Jean-Claude Juncker  the center-right candidate for European Commission president  told Reuters.,normal
GS,Goldman Sachs Group Inc (The),20140509,Goldman says its overseas hiring practices being investigated ,Goldman Sachs Group Inc  disclosed on Friday that it was being investigated over its hiring practices outside the United States.,topStory
GS,Goldman Sachs Group Inc (The),20140509,Goldman says its overseas hiring practices being investigated ,May 9 Goldman Sachs Group Inc disclosed on Friday that it was being investigated over its hiring practices outside the United States.,normal
GS,Goldman Sachs Group Inc (The),20140509,Mitsubishi UFJ may bid for BNY Mellon's Trust Unit: Bloomberg ,Mitsubishi UFJ Financial Group Inc   Japan's biggest lender  is considering bidding for the corporate trust arm of Bank of New York Mellon Corp   Bloomberg reported on Friday  citing unidentified people with knowledge of the matter.,normal
HLT,Hilton Worldwide Holdings Inc,20140509,Hilton raises forecast as business  leisure travel pick up ,Hilton Worldwide Holdings Inc  raised its full-year profit forecast after increasing business and leisure travel in the United States allowed the company to charge more for its rooms in the first quarter.,topStory
HLT,Hilton Worldwide Holdings Inc,20140509,UPDATE 2-Hilton raises forecast as business  leisure travel pick up ,* Co raises FY profit forecast to $0.64-$0.67/share from $0.57-$061,normal
HLT,Hilton Worldwide Holdings Inc,20140509,Hilton profit nearly quadruples as business travel increases ,May 9 Hilton Worldwide Holdings Inc's  quarterly profit nearly quadrupled as increased business and leisure travel drove up occupancy and room rates.,normal
HSBC,HSBC Holdings plc,20140509,HSBC agrees to sell Pakistan bank ,LONDON  May 9 HSBC said it has agreed to sell its banking business in Pakistan to Meezan Bank Ltd   seven months after failing to win regulatory approval to sell it to another company.,topStory
HSEA,HSBC Holdings plc,20140509,HSBC agrees to sell Pakistan bank ,LONDON  May 9 HSBC said it has agreed to sell its banking business in Pakistan to Meezan Bank Ltd   seven months after failing to win regulatory approval to sell it to another company.,topStory
HSEB,HSBC Holdings plc,20140509,HSBC agrees to sell Pakistan bank ,LONDON  May 9 HSBC said it has agreed to sell its banking business in Pakistan to Meezan Bank Ltd   seven months after failing to win regulatory approval to sell it to another company.,topStory
KW,Kennedy-Wilson Holdings Inc,20140509,Kennedy Wilson buys two Irish property portfolios for $654 mln ,LONDON  May 9 Kennedy Wilson Europe Real Estate  has agreed to buy two Irish property portfolios for 472 million euros ($654 million)comprising of shops  offices and homes  its first foray into Ireland since it floated on the stock market earlier this year.,topStory
KW,Kennedy-Wilson Holdings Inc,20140509,BRIEF-Kennedy Wilson buys two Irish property portfolios valued at 472 mln euros ,* Kennedy wilson europe real estate plc - acquisition of two high quality irish property portfolios with an aggregate value of eur 472 million,normal
MTU,Mitsubishi UFJ Financial Group Inc,20140509,Mitsubishi UFJ may bid for BNY Mellon's Trust Unit: Bloomberg ,Mitsubishi UFJ Financial Group Inc   Japan's biggest lender  is considering bidding for the corporate trust arm of Bank of New York Mellon Corp   Bloomberg reported on Friday  citing unidentified people with knowledge of the matter.,topStory
