BCS,Barclays PLC,20140811,FT's former CEO joins race for Barclays' top job - Sunday Times ,Aug 11 The former chief executive of the Financial Times  Rona Fairhead  and the former deputy governor of the Bank of England  Howard Davies  are contesting to be Barclays Plc's next chairman  the Sunday Times reported  citing sources.,normal
BLK,BlackRock Inc,20140811,UPDATE 1-Top Canada finance ministry official Boivin to join BlackRock ,OTTAWA  Aug 11 Top Canadian finance ministry official Jean Boivin will join the London office of BlackRock Inc  the world's largest money manager  the firm said on Monday.,topStory
BLK,BlackRock Inc,20140811,Top Canada finance ministry official to join Blackrock ,OTTAWA  Aug 11 Top Canadian finance ministry official Jean Boivin will join Blackrock Inc  the world's largest money manager  the firm said on Monday.,normal
BLK,BlackRock Inc,20140811,MOVES-Lombard Odier Investment Managers hires former BlackRock exec ,Aug 11 Lombard Odier Investment Managers named Nancy Everett  a former BlackRock Inc executive  to the newly created post of senior advisor in its U.S. operations.,normal
BA,Boeing Company (The),20140811,Boeing expects most of defense unit cost cuts from supply chain ,SEATTLE The head of Boeing Co's  defense  space and security business said on Monday that nearly two-thirds of the $6 billion in cost cutting the unit is undertaking will come from savings found in its network of suppliers.,topStory
BA,Boeing Company (The),20140811,Boeing expects most of defense unit cost cuts from supply chain ,SEATTLE  Aug 11 The head of Boeing Co's  defense  space and security business said on Monday that nearly two-thirds of the $6 billion in cost cutting the unit is undertaking will come from savings found in its network of suppliers.,normal
BA,Boeing Company (The),20140811,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  Aug 11 2014 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                           Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Daily earnings hits & misses         Meetings - Weekly                 Economic Indicators                              Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  n,normal
BG,Bunge Limited,20140811,Deals of the day- Mergers and acquisitions ,(Adds Cutrale  Kommunalkredit  Superior Energy  SAIL  ValueAct Capital  Banca Popolare  MOL  Bunge Ltd; updates Kinder Morgan),topStory
CBS,CBS Corporation,20140811,Actor Robin Williams found dead in apparent suicide ,Oscar-winning actor and comedian Robin Williams was found dead on Monday from an apparent suicide at his home in Northern California  Marin County Sheriff's Office said. He was 63.,topStory
CBS,CBS Corporation,20140811,Fitch Rates CBS' Senior Notes 'BBB'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  August 11 (Fitch) Fitch Ratings has assigned a 'BBB' rating to CBS  Corporation's (CBS) proposed issuance of benchmark-sized senior unsecured notes.  The proceeds from the offering are expected to fund the company's offer to  purchase four tranches of senior notes with approximately $2.1 billion of  aggregate principal outstanding pursuant to the all-cash tender offer launched  today and general corporate purpose including the ,normal
