ACRX,AcelRx Pharmaceuticals Inc,20180524,BRIEF-AcelRx Announces FDA Acceptance Of NDA For Dsuvia ,* ACELRX PHARMACEUTICALS INC - DSUVIA PDUFA DATE SET FOR NOVEMBER 3  2018,topStory,Strong Buy
BAK,Braskem SA,20180524,LyondellBasel valued Braskem at $11.4 billion in offer - report ,SAO PAULO  May 24 LyondellBasell Industries has valued Brazilian petrochemical company Braskem SA at 41.5 billion reais ($11.4 billion) in an offer to Brazilian conglomerate Odebrecht SA months ago  newspaper Valor Econômico reported on Thursday.,normal,Unknown
CAT,Caterpillar Inc,20180524,Why Caterpillar can't keep up with a boom in demand ,EAST PEORIA  Ill. Orders for the mining machines and construction bulldozers made at this sprawling Caterpillar Inc.  factory in central Illinois have jumped  in general  three-fold over the past year. | Video ,topStory,Unknown
CBS,CBS Corporation,20180524,BRIEF-Scripps Says Has Renewed Affiliation Agreements For ABC  CBS Stations In Several Markets ,* SCRIPPS HAS RENEWED AFFILIATION AGREEMENTS FOR ABC  CBS STATIONS IN SEVERAL MARKETS,topStory,Unknown
CFG,Citizens Financial Group Inc,20180524,BRIEF-Citizens Financial Group Announces Redemption Of Subordinated Notes ,* CITIZENS FINANCIAL GROUP ANNOUNCES REDEMPTION OF SUBORDINATED NOTES,topStory,Unknown
DB,Deutsche Bank AG,20180524,UPDATE 7-Deutsche Bank axes at least 7 000 jobs in trading retreat ,* BNP Paribas CEO rules out large tie-ups (Updates with AGM vote results  share price),topStory,Unknown
DB,Deutsche Bank AG,20180524,UPDATE 2-European shares led lower by autos stocks  Deutsche Bank ,* Italian stocks under fresh pressure (Adds details  closing prices),normal,Unknown
DB,Deutsche Bank AG,20180524,Deutsche Bank mistakenly transferred $24 billion in 2014 ,FRANKFURT  May 24 Deutsche Bank erroneously transferred 21 billion euros ($24.62 billion) to Macquarie in 2014   a spokesman said on Thursday  the latest such error to come to light.,normal,Unknown
DB,Deutsche Bank AG,20180524,Deutsche to cull equities platform ,LONDON  May 24 (IFR) - Deutsche Bank is to cut a quarter of its equities sales and trading jobs as part of its wider plan to trim 7 000 positions across the bank to 90 000  with the main casualties in non-electronic roles and less lucrative parts of prime finance.,normal,Unknown
DB,Deutsche Bank AG,20180524,Deutsche Bank says revenue environment in second quarter remains challenging ,FRANKFURT Deutsche Bank's  new chief executive  Christian Sewing  said generating revenue continues to be a challenge in the current quarter  especially for the investment bank.,normal,Unknown
DB,Deutsche Bank AG,20180524,BNP Paribas CEO rules out big deals when asked about Deutsche Bank ,PARIS  May 24 BNP Paribas chief executive Jean-Laurent Bonnafe effectively ruled out a tie-up with struggling German rival Deutsche Bank on Thursday  saying the French lender is not considering any large takeovers or mergers.,normal,Unknown
