BABA,Alibaba Group Holding Limited,20180530,Chinese e-commerce firm Suning.Com sells $1.5 billion of Alibaba shares ,BEIJING Chinese e-commerce company Suning.Com Co Ltd  has sold $1.5 billion worth of shares in Alibaba Group Holding Ltd   cutting its stake in the tech giant to 0.51 percent.,topStory,Unknown
BABA,Alibaba Group Holding Limited,20180530,Chinese e-commerce firm Suning.Com sells $1.5 bln of Alibaba shares ,BEIJING  May 30 Chinese e-commerce company Suning.Com Co Ltd has sold $1.5 billion worth of shares in Alibaba Group Holding Ltd  cutting its stake in the tech giant to 0.51 percent.,normal,Unknown
BABA,Alibaba Group Holding Limited,20180530,Breakingviews - Alibaba's delivery route missing a few turns ,HONG KONG (Reuters Breakingviews) - Alibaba's delivery route is missing a few turns. The e-commerce titan is leading a $1.4 billion investment into China's top courier service  ZTO Express. It's the latest move in a scattershot approach to logistics and it isn't clear how the pieces fit together into a cohesive strategy.,normal,Sell
AGN,Allergan plc,20180530,Allergan to sell women's health  infectious disease units ,NEW YORK Drugmaker Allergan Plc said on Wednesday it plans to sell two of its smaller businesses  the women's health and infectious disease units  as Chief Executive Brent Saunders works to end a steep slide in its share price over the last year.,topStory,Unknown
AGN,Allergan plc,20180530,UPDATE 1-Allergan to sell women's health  infectious disease units ,NEW YORK  May 30 Drugmaker Allergan Plc said on Wednesday it plans to sell two of its smaller businesses  the women's health and infectious disease units  as Chief Executive Brent Saunders works to end a steep slide in its share price over the last year.,normal,Unknown
AGN,Allergan plc,20180530,Allergan plans sales of women's health  infectious disease units ,NEW YORK  May 30 Drugmaker Allergan Plc plans to sell off its women's health and infectious disease businesses as Chief Executive Brent Saunders works to end the steep slide in its share price over the last year.,normal,Unknown
AFSS,AmTrust Financial Services Inc,20180530,UPDATE 1-Arca Capital urges AmTrust shareholders to vote against go-private plan ,May 30 Arca Capital  a top shareholder in AmTrust Financial  on Wednesday joined activist investor Carl Icahn in opposing the U.S. insurer's deal to be taken private.,topStory,Sell
AFSS,AmTrust Financial Services Inc,20180530,Arca Capital urges AmTrust shareholders to vote against go-private plan ,May 30 Arca Capital  one of the largest shareholders in AmTrust Financial  on Wednesday urged other investors to vote against the U.S. insurer's plans to go private  citing "absurdly low valuation" of $13.50 per share.,normal,Sell
AFST,AmTrust Financial Services Inc,20180530,UPDATE 1-Arca Capital urges AmTrust shareholders to vote against go-private plan ,May 30 Arca Capital  a top shareholder in AmTrust Financial  on Wednesday joined activist investor Carl Icahn in opposing the U.S. insurer's deal to be taken private.,topStory,Sell
AFST,AmTrust Financial Services Inc,20180530,Arca Capital urges AmTrust shareholders to vote against go-private plan ,May 30 Arca Capital  one of the largest shareholders in AmTrust Financial  on Wednesday urged other investors to vote against the U.S. insurer's plans to go private  citing "absurdly low valuation" of $13.50 per share.,normal,Sell
AZN,Astrazeneca PLC,20180530,AstraZeneca drug Fasenra fails to achieve main goal in COPD trial ,AstraZeneca's first respiratory biological medicine Fasenra failed to meet its main target in a second clinical trial treating patients with moderate to very severe chronic obstructive pulmonary disease (COPD).,topStory,Unknown
BAC,Bank of America Corporation,20180530,Bank of America CEO sees second-quarter markets revenue flat vs year earlier ,NEW YORK Bank of America Corp  Chief Executive Brian Moynihan said second-quarter markets revenue from sales and trading will likely be flat compared with a year earlier  depending on what happens in June.,topStory,Unknown
BAC,Bank of America Corporation,20180530,Bank of America CEO sees Q2 markets revenue flat vs year earlier ,NEW YORK  May 30 Bank of America Corp Chief Executive Brian Moynihan said second-quarter markets revenue from sales and trading will likely be flat compared with a year earlier  depending on what happens in June.,normal,Unknown
BHP,BHP Billiton Limited,20180530,BHP-Mitsubishi JV to sell Australia coal mine to Japan's Sojitz ,Global miner BHP Billiton  said on Wednesday that its joint venture with a unit of Mitsubishi Corp  would sell a coal mine in Queensland in Australia to Japan's Sojitz Corp  for A$100 million ($74.89 million).,topStory,Unknown
BBL,BHP Billiton plc,20180530,BHP-Mitsubishi JV to sell Australia coal mine to Japan's Sojitz ,Global miner BHP Billiton  said on Wednesday that its joint venture with a unit of Mitsubishi Corp  would sell a coal mine in Queensland in Australia to Japan's Sojitz Corp  for A$100 million ($74.89 million).,topStory,Unknown
BA,Boeing Company (The),20180530,UPDATE 1-Aerospace group Safran sticks to LEAP engine targets  no 'bad surprises' at Zodiac ,PARIS  May 30 French aerospace firm Safran is sticking to production targets for the LEAP jet engine  but is still unwilling to back proposals for higher output from Airbus and Boeing until it is convinced its own suppliers can keep up  its chief executive said on Wednesday.,normal,Sell
BA,Boeing Company (The),20180530,Dubai Aerospace says sold 16 aircraft worth $900 million ,DUBAI Dubai Aerospace Enterprise (DAE)  one of the world's largest aircraft lessors  said on Wednesday it had signed three agreements to sell 16 aircraft worth $900 million.,normal,Unknown
BA,Boeing Company (The),20180530,Dubai Aerospace says sold 16 aircraft worth $900 mln ,DUBAI  May 30 Dubai Aerospace Enterprise (DAE)  one of the world's largest aircraft lessors  said on Wednesday it had signed three agreements to sell 16 aircraft worth $900 million.,normal,Unknown
BA,Boeing Company (The),20180530,Singapore Airlines to launch world's longest commercial flight in October ,SINGAPORE Singapore Airlines Ltd  said it would launch the world's longest commercial flight in October  a near-19 hour non-stop journey from Singapore to the New York area.,normal,Unknown
BA,Boeing Company (The),20180530,Singapore Airlines to launch world's longest commercial flight in October ,SINGAPORE  May 30 Singapore Airlines Ltd said it would launch the world's longest commercial flight in October  a near-19 hour non-stop journey from Singapore to the New York area.,normal,Unknown
BOX,Box Inc,20180530,Cloud storage firm Box reports 20 pct rise in qtrly revenue ,May 30 Cloud software provider Box Inc reported a 20 percent rise in quarterly revenue on Wednesday as more businesses signed up for its service.,topStory,Unknown
CUK,Carnival Corporation,20180530,BRIEF-Dufry Signs New Contracts With Holland America Line  Carnival And Norwegian Cruise Line ,* DUFRY SIGNS NEW CONTRACTS WITH HOLLAND AMERICA LINE  CARNIVAL AND NORWEGIAN CRUISE LINE – FURTHER EXPANDS ITS FOOTPRINT IN THE CRUISE CHANNEL Source text for Eikon: Further company coverage: (Gdynia Newsroom),topStory,Sell
CEL,Cellcom Israel Ltd,20180530,Competition bites into Israel's Cellcom profit  shares fall ,JERUSALEM  May 30 An ongoing price war hit Cellcom's first quarter net profit  despite growth in the fixed line business of Israel's largest mobile operator.,topStory,Sell
CI,Cigna Corporation,20180530,ANZ Bank New Zealand sells life insurance business to Cigna Corp ,ANZ Bank New Zealand agreed to sell its New Zealand life insurance business to U.S-listed Cigna Corp  for NZ$700 million ($482.4 million)  as its parent boosts its capital base by hiving off non-core businesses.,topStory,Strong Buy
CI,Cigna Corporation,20180530,UPDATE 1-ANZ Bank New Zealand sells life insurance business to Cigna Corp ,May 30 ANZ Bank New Zealand agreed to sell its New Zealand life insurance business to U.S-listed Cigna Corp for NZ$700 million ($482.4 million)  as its parent boosts its capital base by hiving off non-core businesses.,normal,Strong Buy
KO,Coca-Cola Company (The),20180530,Coca-Cola Co's Africa distributor to invest $100 mln in Kenya over next 5 years ,NAIROBI  May 30 Coca-Cola Beverages Africa (CCBA)  the continent’s largest soft drinks bottler  said on Wednesday it would invest $100 million in Kenya over the next five years to improve infrastructure and launch new products.,topStory,Unknown
CVI,CVR Energy Inc,20180530,Ethanol  farm groups sue U.S. EPA over refineries' biofuels exemptions ,May 29 A coalition of ethanol and farm groups sued the U.S. Environmental Protection Agency on Tuesday  challenging its decision to free three refineries  including one owned by billionaire investor Carl Icahn  from annual biofuels requirements.,normal,Unknown
DB,Deutsche Bank AG,20180530,Deutsche Bank looking to sell stake in Dubai-based Abraaj -sources ,DUBAI  May 30 Deutsche Bank is looking to sell its small stake in Dubai-based Abraaj  the embattled private equity firm involved in a row over alleged misuse of investor money  two sources familiar with the matter said.,topStory,Unknown
DKS,Dick&#39;s Sporting Goods Inc,20180530,Dick's Sporting Goods raises profit forecast  shares soar ,Dick's Sporting Goods Inc  on Wednesday topped analysts' estimates for quarterly results and raised its full-year profit forecast  sending its shares surging 28 percent and on track for their best day since the 2002 initial public offering.,topStory,Unknown
DKS,Dick&#39;s Sporting Goods Inc,20180530,Dick's Sporting shares surge as retailer raises earnings forecast ,May 30 Dick's Sporting Goods Inc's shares jumped 24 percent on Wednesday  after the retailer of outdoor products and guns reported better-than-expected first-quarter results and raised its yearly profit target.,normal,Unknown
LPG,Dorian LPG Ltd,20180530,NORWEGIAN STOCKS-Shipper BW LPG gains after Dorian bid ,OSLO  May 30 (Reuters) - * Norwegian shares traded up on Wednesday * Oslo's benchmark index rose 0.43 pct  or 3.74 points  to 871.32 points and was up by 6.52 pct year-to-date * The broader Oslo All Share Index was up 0.52 percent * Brent crude futures  a trigger for the oil heavy Oslo Bourse  rose $0.28 to $75.67 a barrel * Among the biggest firms on the Oslo Bourse  Equinor rose 1.5 pct  Telenor rose 0.40 pct and DNB fell 0.23 pct * Turnover at the Oslo Bourse was 2.1 billion Norwegian crowns ,topStory,Unknown
XOM,Exxon Mobil Corporation,20180530,Exxon shareholders reject proposal to split CEO  chair roles ,DALLAS Exxon Mobil Corp shareholders rejected a proposal on Wednesday that would have split the roles of chairman and chief executive  securing CEO Darren Woods's role as he looks to improve results at the world's largest publicly traded oil producer.,topStory,Unknown
