ALDR,Alder BioPharmaceuticals Inc,20150515,BRIEF-Alder Biopharma says its single IV dose of ALD403 shows efficacy in treating migraine ,* Announced six-month follow-up data from phase 2 proof-of-concept clinical trial of ald403,topStory
AWK,American Water Works,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
AWK,American Water Works,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
AZN,Astrazeneca PLC,20150515,FDA warns on newer class of type 2 diabetes drugs ,The U.S. Food and Drug Administration on Friday warned that a widely used newer class of type 2 diabetes drugs sold by AstraZeneca  Johnson & Johnson and Eli Lilly in partnership with Boehringer Ingleheim may cause dangerously high levels of blood acids that could require hospitalization.,topStory
AZN,Astrazeneca PLC,20150515,UPDATE 2-U.S. FDA warns on newer class of type 2 diabetes drugs ,May 15 The U.S. Food and Drug Administration on Friday warned that a widely used newer class of type 2 diabetes drugs sold by AstraZeneca  Johnson & Johnson and Eli Lilly in partnership with Boehringer Ingleheim may cause dangerously high levels of blood acids that could require hospitalization.,normal
AVP,Avon Products Inc,20150515,FBI looking into suspicious bid for Avon ,The Federal Bureau of Investigation is probing the suspicious buyout bid for cosmetics company Avon Products Inc  by purported acquirer PTG Capital Partners  an agency official said on Friday.,topStory
AVP,Avon Products Inc,20150515,UPDATE 1-FBI looking into suspicious bid for Avon ,May 15 The Federal Bureau of Investigation is probing the suspicious buyout bid for cosmetics company Avon Products Inc by purported acquirer PTG Capital Partners  an agency official said on Friday.,normal
AVP,Avon Products Inc,20150515,FBI to look into suspicious bid for Avon - WSJ ,May 15 FBI officials have started to review a suspicious buyout bid for cosmetics company Avon Products Inc  by purported acquirer PTG Capital Partners  Wall Street Journal reported  citing people familiar with the matter.,normal
BK,Bank Of New York Mellon Corporation (The),20150515,CORRECTED-BRIEF-Greenlight Capital Inc takes 330 901 shares in BNY Mellon ,May 15 May 15 Greenlight Capital Inc:  * Greenlight Capital Inc takes 330 901 shares in BNY Mellon  - SEC filing  * Greenlight Capital Inc UPS share stake in AerCap Holdings NV by 49.1 percent,topStory
BBL,BHP Billiton plc,20150515,BRIEF-Nedbank Ltd adjusts terms of share instalment with BHP Billiton ,* Adjustment to the terms and conditions of Nedbank's  BHP Billiton Plc share instalment - BILNIL,topStory
BBL,BHP Billiton plc,20150515,REFILE-UPDATE 2-Australian PM backs Senate probe into iron ore slump ,SYDNEY/MELBOURNE  May 15 Australian Prime Minister Tony Abbott on Friday threw his support behind a proposed Senate inquiry into the economic impact of a slump in the price of iron ore  ratcheting up pressure on top producers Rio Tinto and BHP Billiton.,normal
